 ,Precision,Recall,F-Measure,Avg Precision,Ndcg,Latency
Query,@50,@50,@50,@50,@50,@50
1,0.3,0.058,0.097,0.256,0.185,9.8
2,0.14,0.117,0.127,0.122,0.094,3.128
3,0.26,0.066,0.105,0.201,0.163,0.046
4,0.02,0.014,0.017,0.143,0.016,0.021
5,0.16,0.042,0.067,0.272,0.111,0.034
6,0.32,0.062,0.105,0.507,0.249,0.059
7,0.06,0.043,0.05,0.833,0.154,0.037
8,0.04,0.022,0.028,0.033,0.025,0.039
9,0.12,0.162,0.138,0.545,0.239,0.021
10,0.1,0.104,0.102,0.129,0.099,0.039
11,0.0,0.0,0,0,0.0,0.032
12,0.42,0.094,0.154,0.5,0.364,0.023
13,0.12,0.023,0.039,0.38,0.089,0.037
14,0.26,0.167,0.203,0.684,0.268,0.02
15,0.0,0.0,0,0,0.0,0.023
16,0.14,0.081,0.103,0.519,0.155,0.037
17,0.26,0.163,0.2,0.595,0.316,0.049
18,0.36,0.145,0.207,0.351,0.195,0.035
19,0.26,0.21,0.232,0.336,0.24,0.017
20,0.16,0.077,0.104,0.286,0.219,0.029
21,0.18,0.099,0.128,0.38,0.209,0.029
22,0.12,0.136,0.128,0.157,0.135,0.03
23,0.08,0.148,0.104,0.141,0.132,0.02
24,0.1,0.128,0.112,0.268,0.173,0.018
25,0.02,0.011,0.014,0.024,0.007,0.031
26,0.14,0.043,0.066,0.306,0.171,0.032
27,0.36,0.131,0.193,0.46,0.382,0.02
28,0.1,0.161,0.123,0.302,0.214,0.02
29,0.26,0.085,0.128,0.555,0.277,0.029
30,0.16,0.151,0.155,0.182,0.13,0.018
31,0.0,0.0,0,0,0.0,0.041
32,0.0,0.0,0,0,0.0,0.022
33,0.02,0.029,0.024,0.056,0.013,0.021
34,0.0,0.0,0,0,0.0,0.025
35,0.06,0.176,0.09,0.051,0.103,0.034
36,0.42,0.176,0.249,0.441,0.361,0.03
37,0.2,0.127,0.155,0.34,0.223,0.035
38,0.18,0.129,0.15,0.172,0.122,0.034
39,0.22,0.22,0.22,0.253,0.213,0.014
40,0.3,0.133,0.184,0.292,0.185,0.023
41,0.02,0.25,0.037,0.024,0.052,0.011
42,0.0,0.0,0,0,0.0,0.007
43,0.0,0,0,0,0,0.007
44,0.16,0.216,0.184,0.152,0.164,0.036
45,0.16,0.4,0.229,0.17,0.265,0.043
46,0.12,0.429,0.188,0.214,0.281,0.02
47,0.04,0.105,0.058,0.06,0.056,0.025
48,0.26,0.591,0.361,0.212,0.329,0.016
49,0.02,0.1,0.033,0.077,0.079,0.083
