 ,Precision,Recall,F-Measure,Avg Precision,Ndcg,Latency
Query,@50,@50,@50,@50,@50,@50
1,0.06,0.012,0.019,0.135,0.031,0.01
2,0.04,0.033,0.036,0.053,0.032,0.021
3,0.08,0.02,0.032,0.383,0.08,0.014
4,0.061,0.042,0.05,0.104,0.048,0.01
5,0.1,0.026,0.042,0.467,0.164,0.013
6,0.04,0.008,0.013,0.293,0.041,0.019
7,0.04,0.029,0.033,0.038,0.029,0.015
8,0.0,0.0,0,0,0.0,0.014
9,0.02,0.027,0.023,0.125,0.04,0.009
10,0.04,0.042,0.041,0.091,0.035,0.012
11,0.0,0.0,0,0,0.0,0.012
12,0.02,0.004,0.007,0.5,0.049,0.008
13,0.0,0.0,0,0,0.0,0.011
14,0.2,0.128,0.156,0.259,0.167,0.008
15,0.02,0.01,0.014,0.077,0.028,0.009
16,0.1,0.058,0.074,0.294,0.09,0.012
17,0.04,0.025,0.031,0.063,0.036,0.015
18,0.02,0.008,0.011,0.037,0.009,0.012
19,0.04,0.032,0.036,0.295,0.074,0.008
20,0.12,0.058,0.078,0.112,0.084,0.009
21,0.0,0.0,0,0,0.0,0.014
22,0.06,0.068,0.064,0.129,0.074,0.026
23,0.06,0.111,0.078,0.065,0.073,0.017
24,0.08,0.103,0.09,0.077,0.085,0.009
25,0.14,0.075,0.098,0.112,0.111,0.009
26,0.04,0.012,0.019,0.057,0.034,0.014
27,0.0,0.0,0,0,0.0,0.009
28,0.04,0.065,0.049,0.034,0.045,0.008
29,0.3,0.098,0.148,0.29,0.239,0.01
30,0.184,0.17,0.176,0.168,0.155,0.008
31,0.02,0.014,0.016,0.053,0.011,0.016
32,0.02,0.083,0.032,0.036,0.049,0.008
33,0.0,0.0,0,0,0.0,0.009
34,0.0,0.0,0,0,0.0,0.008
35,0.02,0.059,0.03,0.025,0.033,0.011
36,0.08,0.034,0.047,0.127,0.076,0.011
37,0.18,0.114,0.14,0.268,0.155,0.013
38,0.08,0.057,0.067,0.063,0.055,0.016
39,0.1,0.1,0.1,0.126,0.092,0.006
40,0.0,0.0,0,0,0.0,0.015
41,0.02,0.25,0.037,0.022,0.051,0.005
42,0.0,0.0,0,0,0.0,0.005
43,0.0,0,0,0,0,0.003
44,0.0,0.0,0,0,0.0,0.018
45,0.04,0.1,0.057,0.073,0.071,0.017
46,0.1,0.357,0.156,0.491,0.448,0.008
47,0.04,0.105,0.058,0.095,0.065,0.008
48,0.02,0.045,0.028,1.0,0.208,0.009
49,0.02,0.1,0.033,0.021,0.053,0.028
50,0.0,0.0,0,0,0.0,0.01
