 ,Precision,Recall,F-Measure,Avg Precision,Ndcg,Latency
Query,@100,@100,@100,@100,@100,@100
1,0.27,0.105,0.151,0.342,0.189,7.663
2,0.071,0.117,0.088,0.07,0.086,3.784
3,0.2,0.101,0.134,0.142,0.14,0.075
4,0.011,0.014,0.012,0.091,0.011,0.099
5,0.09,0.047,0.062,0.17,0.065,0.112
6,0.19,0.074,0.107,0.295,0.156,0.083
7,0.05,0.071,0.059,0.073,0.059,0.07
8,0.04,0.044,0.042,0.03,0.039,0.076
9,0.04,0.108,0.058,0.224,0.117,0.057
10,0.11,0.229,0.149,0.115,0.158,0.077
11,0.02,0.03,0.024,0.023,0.023,0.064
12,0.3,0.135,0.186,0.369,0.253,0.057
13,0.08,0.031,0.045,0.119,0.046,0.065
14,0.17,0.218,0.191,0.644,0.273,0.034
15,0.01,0.01,0.01,0.033,0.008,0.046
16,0.15,0.174,0.161,0.298,0.169,0.054
17,0.15,0.188,0.167,0.37,0.248,0.069
18,0.25,0.202,0.223,0.339,0.194,0.053
19,0.131,0.21,0.161,0.156,0.166,0.048
20,0.14,0.135,0.137,0.148,0.142,0.044
21,0.08,0.088,0.084,0.142,0.089,0.044
22,0.05,0.114,0.069,0.052,0.074,0.056
23,0.05,0.185,0.079,0.069,0.125,0.034
24,0.06,0.154,0.086,0.143,0.157,0.038
25,0.01,0.011,0.01,0.011,0.008,0.039
26,0.07,0.043,0.054,0.279,0.1,0.063
27,0.23,0.168,0.194,0.33,0.271,0.043
28,0.06,0.194,0.092,0.113,0.142,0.035
29,0.21,0.137,0.166,0.321,0.198,0.055
30,0.121,0.226,0.158,0.139,0.165,0.035
31,0.01,0.014,0.011,0.333,0.04,0.068
32,0.0,0.0,0,0,0.0,0.038
33,0.01,0.029,0.015,0.021,0.01,0.042
34,0.0,0.0,0,0,0.0,0.038
35,0.04,0.235,0.068,0.082,0.123,0.05
36,0.16,0.134,0.146,0.191,0.146,0.086
37,0.05,0.063,0.056,0.112,0.044,0.086
38,0.09,0.129,0.106,0.234,0.112,0.071
39,0.17,0.34,0.227,0.438,0.325,0.027
40,0.22,0.195,0.207,0.204,0.177,0.041
41,0.01,0.25,0.019,0.017,0.047,0.028
42,0.0,0.0,0,0,0.0,0.021
43,0.0,0,0,0,0,0.014
44,0.08,0.216,0.117,0.257,0.246,0.062
45,0.1,0.5,0.167,0.177,0.344,0.076
46,0.04,0.286,0.07,0.165,0.19,0.041
47,0.02,0.105,0.034,0.031,0.063,0.042
48,0.13,0.591,0.213,0.134,0.286,0.037
49,0.01,0.1,0.018,0.014,0.049,0.155
